dataset,subset,task,model,status,source,selected_step,loss,token_acc,exact_acc,final_acc,train_loss,num_layers,d_model,num_heads
permutation,S3_len100_100k,,baseline,completed,test,10500,1.0057,0.4120,0.0000,0.2446,,8,512,8
permutation,S3_len100_100k,,baseline,completed,test,14000,1.2845,0.3450,0.0000,0.1603,,6,256,4
permutation,S3_len100_100k,,ratio1,completed,test,2800,0.0005,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len100_100k,,ratiolt1,completed,test,14000,0.0000,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len100_100k_int,,ratio1,interrupted,wandb_summary_test,,0.0006,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len100_100k_int,,ratio1,completed,test,2400,0.0006,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len100_100k_int,,ratiolt1,interrupted,wandb_summary_test,,0.0006,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len100_100k_int,,ratiolt1,completed,test,3400,0.0006,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len10_100k_int,,baseline,interrupted,wandb_summary_test,,0.0871,0.9621,0.6991,0.7306,,6,256,4
permutation,S3_len10_100k_int,,baseline,completed,test,3200,0.0871,0.9621,0.6991,0.7306,,6,256,4
permutation,S3_len10_100k_int,,ratio1,interrupted,wandb_summary_test,,0.0002,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len10_100k_int,,ratio1,completed,test,2400,0.0002,1.0000,1.0000,1.0000,,6,256,4
permutation,S3_len50_100k_int,,baseline,completed,test,15600,1.2005,0.4202,0.0000,0.1600,,6,256,4
permutation,S3_len50_100k_int,,ratio1,interrupted,wandb_summary_test,,0.0061,0.9993,0.9984,0.9988,,6,256,4
permutation,S3_len50_100k_int,,ratio1,completed,test,4200,0.0061,0.9993,0.9984,0.9988,,6,256,4
permutation,S3_len50_100k_int,,ratiolt1,interrupted,wandb_summary_test,,0.0135,0.9983,0.9922,0.9941,,6,256,4
permutation,S3_len50_100k_int,,ratiolt1,completed,test,4800,0.0135,0.9983,0.9922,0.9941,,6,256,4
permutation,S4_len50_100k,,ratio1,interrupted,last_val,10600,0.0003,1.0000,1.0000,1.0000,0.0003,8,512,8
permutation,S5_len100_100k,,baseline,completed,test,18500,4.3516,0.1186,0.0000,0.0088,,8,512,8
permutation,S5_len100_100k,,ratio1,interrupted,last_val,47500,0.0014,1.0000,0.9998,0.9999,0.0013,8,512,8
permutation,S5_len100_100k,,ratiogt1,completed,test,1500,4.7411,0.0184,0.0000,0.0076,,8,512,8
permutation,S5_len100_100k,,ratiogt1,completed,test,3800,4.7404,0.0183,0.0000,0.0085,,6,256,4
permutation,S5_len100_100k,,ratiolt1,interrupted,last_val,28000,0.0089,0.9992,0.9984,0.9990,0.0024,8,512,8
permutation,S5_len20_100k,,ratio1,completed,test,2600,4.5494,0.0588,0.0000,0.0075,,6,512,8
permutation,S5_len20_100k,,ratio1,completed,test,25600,0.0085,0.9991,0.9973,0.9979,,8,512,8
permutation,S5_len50_100k,,ratio1,completed,test,1200,4.6949,0.0283,0.0000,0.0103,,12,512,8
permutation,S5_len50_100k,,ratio1,completed,test,2200,4.6944,0.0284,0.0000,0.0085,,6,512,8
permutation,S5_len50_100k,,ratio1,completed,test,4000,4.6928,0.0285,0.0000,0.0080,,8,512,8
permutation,S5_len50_100k,,ratio1,completed,test,47500,0.0000,1.0000,1.0000,1.0000,,8,512,8
permutation,S5_len50_100k,,ratiolt1,interrupted,last_val,59000,0.0009,1.0000,0.9999,1.0000,0.0008,8,512,8
permutation,S3_len100_100k,,depthstep_gt1,completed,test,800,1.6621,0.2260,0.0000,0.1701,,6,256,4
permutation,S5_len100_100k,,depthstep_gt1,completed,test,3800,4.7260,0.0223,0.0000,0.0115,,6,256,4
permutation,S3_len100_100k,,depthstep_gt1,completed,test,24000,1.3220,0.3781,0.0000,0.2234,,6,256,4
